Datetime,depth1,depth2,depth3
12/14/2021 12:00,70,70,80
12/15/2021 12:00,80,80,85
12/16/2021 12:00,75,80,85
12/17/2021 12:00,95,95,105
12/18/2021 12:00,90,90,95
12/19/2021 12:00,85,85,95
12/20/2021 12:00,80,80,90
12/21/2021 12:00,80,80,90
12/22/2021 12:00,75,75,85
12/23/2021 12:00,80,80,90
12/24/2021 12:00,115,115,125
12/25/2021 12:00,115,115,130
12/26/2021 12:00,115,115,125
12/27/2021 12:00,125,125,135
12/28/2021 12:00,135,135,145
12/29/2021 12:00,135,135,140
12/30/2021 12:00,140,140,150
12/31/2021 12:00,145,150,155
1/1/2022 12:00,150,150,155
1/2/2022 12:00,140,145,155
1/3/2022 12:00,140,140,145
1/4/2022 12:00,135,140,145
1/5/2022 12:00,150,155,160
1/6/2022 12:00,175,175,185
1/7/2022 12:00,170,170,180
1/8/2022 12:00,175,180,185
1/9/2022 12:00,170,175,180
1/10/2022 12:00,170,170,175
1/11/2022 12:00,165,165,175
1/12/2022 12:00,160,160,170
1/13/2022 12:00,155,160,165
1/14/2022 12:00,160,165,170
1/15/2022 12:00,160,165,170
1/16/2022 12:00,155,160,165
1/17/2022 12:00,150,155,165
1/18/2022 12:00,150,155,160
1/19/2022 12:00,150,155,160
1/20/2022 12:00,155,160,165
1/21/2022 12:00,155,155,165
1/22/2022 12:00,160,160,165
1/23/2022 12:00,155,155,165
1/24/2022 12:00,155,155,165
1/25/2022 12:00,160,160,165
1/26/2022 12:00,155,155,165
1/27/2022 12:00,155,155,165
1/28/2022 12:00,155,155,160
1/29/2022 12:00,150,150,160
1/30/2022 12:00,150,150,160
1/31/2022 12:00,150,150,155
2/1/2022 12:00,150,150,160
2/2/2022 12:00,150,150,160
2/3/2022 12:00,150,150,160
2/4/2022 12:00,150,150,160
2/5/2022 12:00,150,150,155
2/6/2022 12:00,145,150,155
2/7/2022 12:00,155,155,165
2/8/2022 12:00,150,155,160
2/9/2022 12:00,150,150,160
2/10/2022 12:00,150,150,155
2/11/2022 12:00,155,155,165
2/12/2022 12:00,160,160,170
2/13/2022 12:00,155,155,165
2/14/2022 12:00,150,155,160
2/15/2022 12:00,150,155,160
2/16/2022 12:00,155,155,165
2/17/2022 12:00,155,160,165
2/18/2022 12:00,155,155,165
2/19/2022 12:00,150,155,165
2/20/2022 12:00,150,155,160
2/21/2022 12:00,150,155,160
2/22/2022 12:00,160,165,170
2/23/2022 12:00,165,165,175
2/24/2022 12:00,165,165,175
2/25/2022 12:00,160,160,170
2/26/2022 12:00,160,165,170
2/27/2022 12:00,160,160,170
2/28/2022 12:00,155,160,170
3/1/2022 12:00,155,160,165
3/2/2022 12:00,155,155,165
3/3/2022 12:00,150,155,165
3/4/2022 12:00,150,155,165
3/5/2022 12:00,165,165,175
3/6/2022 12:00,170,175,185
3/7/2022 12:00,170,175,185
3/8/2022 12:00,170,175,180
3/9/2022 12:00,185,190,195
3/10/2022 12:00,180,185,190
3/11/2022 12:00,175,180,185
3/12/2022 12:00,175,175,185
3/13/2022 12:00,170,175,180
3/14/2022 12:00,180,180,190
3/15/2022 12:00,175,175,185
3/16/2022 12:00,175,175,185
3/17/2022 12:00,185,190,200
3/18/2022 12:00,185,190,195
3/19/2022 12:00,180,180,190
3/20/2022 12:00,175,180,185
